WXR_MEAN£0.47588951719060696
VSS_MEAN£0.7849686678565562
WXR_MIN£0.48529992622412976
VSS_MIN£0.8003144597495828
WXR_VAR£0.0022138949544551942
VSS_VAR£0.005887333220602096
WXR_STD£0.04705204516761407
VSS_STD£0.07672895946513347
WXR_LIMIT£0.5027764001435293
VSS_LIMIT£0.8288137875509182
